transaction_id,amount,time,location,device,transaction_type,account_age_days,num_transactions_last_24h,is_fraud
1,1878.9551930483387,21,Los Angeles,Laptop,Online,1248,9,0
2,4754.064388985482,16,San Francisco,Desktop,ATM Withdrawal,1856,2,0
3,3662.6497696389115,8,Los Angeles,Laptop,POS,874,3,0
4,2997.3058361432127,0,New York,Laptop,POS,1890,12,0
5,788.5330158077583,20,Los Angeles,Desktop,Online,1515,16,0
6,788.4126564776512,19,Los Angeles,Desktop,POS,473,1,0
7,299.8372247193153,12,Chicago,Desktop,Online,1034,3,0
8,4332.218967416927,15,Los Angeles,Mobile,POS,1429,2,0
9,3009.5639085986118,12,Los Angeles,Laptop,Online,1920,9,0
10,3543.282163202267,13,New York,Mobile,ATM Withdrawal,302,19,1
11,112.7166265360542,2,Chicago,Mobile,POS,231,15,0
12,4849.850162288351,5,Houston,Desktop,POS,1755,18,1
13,4163.888777594105,17,New York,Mobile,Online,923,11,0
14,1069.572162284598,18,New York,Desktop,Online,1090,16,0
15,917.3065863634321,4,Houston,Laptop,POS,937,17,0
16,925.1885041686347,14,Los Angeles,Desktop,Online,112,5,0
17,1528.1687923680931,1,San Francisco,Mobile,POS,1037,12,1
18,2628.534593844867,9,Chicago,Mobile,ATM Withdrawal,1417,11,0
19,2165.4056430241576,23,San Francisco,Desktop,Online,500,15,0
20,1463.233409588229,17,Houston,Desktop,POS,932,3,0
21,3063.1459446646736,12,New York,Mobile,ATM Withdrawal,598,1,0
22,706.0743646536888,4,New York,Laptop,ATM Withdrawal,234,16,0
23,1467.8017961907385,22,Chicago,Laptop,POS,602,2,0
24,1838.1455980355215,23,New York,Desktop,Online,314,2,0
25,2285.7892212430093,0,New York,Laptop,POS,566,3,0
26,3928.028047351138,21,Chicago,Mobile,ATM Withdrawal,1036,8,0
27,1006.372172970215,0,Chicago,Desktop,POS,209,15,0
28,2576.029847683922,17,Houston,Mobile,Online,1998,7,0
29,2966.148698621592,14,New York,Mobile,ATM Withdrawal,1038,6,0
30,241.78755947278864,16,New York,Laptop,POS,1657,9,0
31,3041.6488109881775,10,Houston,Desktop,Online,1442,1,0
32,860.9153771995848,20,Los Angeles,Desktop,ATM Withdrawal,1461,8,0
33,334.6074489965448,21,Los Angeles,Laptop,Online,1401,3,0
34,4744.9388308941325,16,Los Angeles,Mobile,ATM Withdrawal,1044,4,0
35,4828.503845042052,12,Houston,Mobile,POS,587,15,0
36,4043.902767101141,0,New York,Mobile,Online,1936,6,0
37,1530.0227081751198,1,Houston,Mobile,ATM Withdrawal,1779,15,0
38,497.3838488918555,8,Houston,Desktop,Online,1759,3,0
39,3424.3228022956628,2,Los Angeles,Desktop,Online,1015,14,0
40,2206.3609437606106,0,San Francisco,Laptop,POS,1094,14,0
41,618.9707918754464,20,New York,Laptop,Online,1848,4,0
42,2480.932781455238,15,Los Angeles,Desktop,ATM Withdrawal,1235,12,0
43,181.5987203649398,22,San Francisco,Desktop,ATM Withdrawal,1125,17,0
44,4547.508806373123,5,San Francisco,Mobile,ATM Withdrawal,698,7,0
45,1301.3121081840843,16,Chicago,Mobile,ATM Withdrawal,132,9,0
46,3315.98619892637,4,New York,Laptop,POS,1647,3,0
47,1565.4382696861608,4,San Francisco,Desktop,Online,1405,13,0
48,2605.139425677276,5,Los Angeles,Laptop,POS,1156,15,0
49,2738.0842939229656,2,Chicago,Desktop,Online,1044,18,0
